trialNumber,timestamp,position,speed,direction
0,1869269.9000000004,0.368,1.4492753622405958,-1
0,1869277,0.365,0.42253521128977595,-1
0,1869284.1000000015,0.363,0.28169014078595084,-1
0,1869297.4000000004,0.365,0.15037593986226017,1
0,1869304.8000000007,0.371,0.810810810769994,1
0,1869311.7000000011,0.383,1.739130434688715,1
0,1869318.6000000015,0.403,2.8985507244811917,1
0,1869326.2000000011,0.431,3.6842105264963743,1
0,1869333.2000000011,0.472,5.857142857142854,1
0,1869339.4000000004,0.511,6.290322581401079,1
0,1869346.5,0.55,5.492957746767087,1
0,1869353.3000000007,0.601,7.499999999178235,1
0,1869360.3000000007,0.643,6.000000000000005,1
0,1869367.2000000011,0.682,5.652173912738324,1
0,1869374.1000000015,0.722,5.797101448962367,1
0,1869381.2000000011,0.761,5.492957746767087,1
0,1869388.1000000015,0.786,3.6231884056014896,1
0,1869395.1000000015,0.81,3.4285714285714315,1
0,1869401.9000000004,0.829,2.794117647518026,1
0,1869408.9000000004,0.84,1.5714285714285727,1
0,1869415.8000000007,0.846,0.8695652173443575,1
0,1869422.7000000011,0.847,0.1449275362240596,1
0,1869443.6000000015,0.846,0.04784688995130031,-1
0,1869450.6000000015,0.839,1.0000000000000009,-1
0,1869457.5,0.826,1.8840579714213734,-1
0,1869464.5,0.803,3.2857142857142727,-1
0,1869471.4000000004,0.771,4.637681159169907,-1
0,1869478.4000000004,0.731,5.714285714285719,-1
0,1869485.3000000007,0.682,7.101449274978903,-1
0,1869492.3000000007,0.64,6.000000000000005,-1
0,1869499.2000000011,0.587,7.681159419875158,-1
0,1869506.1000000015,0.538,7.101449274978903,-1
0,1869513.1000000015,0.484,7.714285714285721,-1
0,1869520.1000000015,0.43,7.714285714285713,-1
0,1869527.1000000015,0.383,6.714285714285712,-1
0,1869534,0.34,6.231884059316843,-1
0,1869540.9000000004,0.301,5.652173912738324,-1
0,1869547.9000000004,0.265,5.14285714285714,-1
0,1869554.7000000011,0.239,3.8235294113457754,-1
0,1869561.7000000011,0.212,3.8571428571428563,-1
0,1869568.6000000015,0.19,3.188405796929307,-1
0,1869576.5,0.172,2.2784810130880024,-1
0,1869582.7000000011,0.158,2.2580645157220003,-1
0,1869589.5,0.149,1.3235294119822305,-1
0,1869596.4000000004,0.14,1.3043478260165322,-1
0,1869603.4000000004,0.137,0.42857142857142894,-1
0,1869610.3000000007,0.134,0.43478260867217877,-1
0,1869702.6000000015,0.133,0.010834236186261417,-1
0,1869709.4000000004,0.132,0.14705882355358116,-1
0,1869715.6000000015,0.131,0.16129032255157177,-1
0,1869721.3000000007,0.129,0.3508771930283203,-1
